,대여소_ID,주소1,주소2,위도,경도,동코드
0,ST-999,서울특별시 양천구 목동서로 280,목동아파트 8단지 상가동,37.52184166143816,126.86764548137124,11470670
1,ST-998,서울특별시 양천구 목동서로 130,목동아파트 4단지 상가동,37.5322635577749,126.87091373271,11470550
2,ST-997,서울특별시 양천구 목동중앙로 49,목동3단지 시내버스정류장,37.53439,126.869598,11470540
3,ST-996,서울특별시 양천구 남부순환로88길5-16,양강중학교앞 교차로,37.524334,126.850548,11470570
4,ST-995,서울특별시 양천구 신정동 621-14,계남공원 입구 주출입구 좌측,37.510681,126.857399,11470640
5,ST-994,서울특별시 양천구 목동서로161,SBS방송국,37.529163,126.872749,11470510
6,ST-993,서울특별시 양천구 신월로 342-1 구두수선대19,,37.521511,126.857384,11470620
7,ST-992,서울특별시 마포구 마포대로 163,서울신용보증재단,37.549061,126.954178,11440555
8,ST-991,서울특별시 마포구 성암로330,DMC첨단산업센터,37.584503,126.885597,11440740
9,ST-990,서울특별시 상암동 1715-29,롯데하이마트 (상암월드컵점),37.57362,126.898048,11440740
10,ST-99,서울특별시 광진구 능동로 10,뚝섬유원지역 1번출구 앞,37.53186,127.067192,11215840
11,ST-989,서울특별시 월드컵로5길 11,합정동 주민센터,37.55166181400224,126.91175641427573,11440680
12,ST-988,서울특별시 광진구 능동로 42,신양초교앞 교차로,37.535221,127.068398,11215840
13,ST-987,서울특별시 광진구 아차산로 304,원일교회,37.538052,127.076599,11215840
14,ST-986,서울특별시 광진구 아차산로78길 7,광진유진스웰,37.550488,127.108955,11215810
15,ST-985,서울특별시 광진구 능동로 지하 417,중곡역 1번출구 앞,37.565659,127.084297,11215760
16,ST-984,서울특별시 광진구 자양로 131,광진구청 앞,37.539501,127.083,11215820
17,ST-983,서울특별시 광진구 능동로 313,군자역2번출구,37.557587,127.079697,11215740
18,ST-982,서울특별시 마포구 월드컵로 251,이동정비,37.564224,126.897522,11440730
19,ST-981,서울특별시 송파구 중대로 16,송파구 중대로 16,37.489872,127.11084,11710642
20,ST-980,서울특별시 광진구 자양강변길 301,광진구 자양2동 705,37.528587,127.077873,11215830
